race_round,race_name,driver,finish_position,points,points_per_race,cumulative_points,win,podium,pole,fastest_lap,cumulative_wins,cumulative_podiums,cumulative_poles,cumulative_fastest_laps
1,Bahrain,Max Verstappen,1,25,25,25,1,1,1,0,1,1,1,0
2,Saudi Arabia,Max Verstappen,2,19,19,44,0,1,0,1,1,2,1,1
3,Australia,Max Verstappen,1,25,25,69,1,1,1,0,2,3,2,1
4,Azerbaijan,Max Verstappen,2,24,24,93,0,1,0,0,2,4,2,1
5,Miami,Max Verstappen,1,26,26,119,1,1,0,1,3,5,2,2
6,Monaco,Max Verstappen,1,25,25,144,1,1,1,0,4,6,3,2
7,Spain,Max Verstappen,1,26,26,170,1,1,1,1,5,7,4,3
8,Canada,Max Verstappen,1,25,25,195,1,1,1,0,6,8,5,3
9,Austria,Max Verstappen,1,34,34,229,1,1,1,1,7,9,6,4
10,Great Britain,Max Verstappen,1,26,26,255,1,1,1,1,8,10,7,5
11,Hungary,Max Verstappen,1,26,26,281,1,1,0,1,9,11,7,6
12,Belgium,Max Verstappen,1,33,33,314,1,1,1,0,10,12,8,6
13,Netherlands,Max Verstappen,1,25,25,339,1,1,1,0,11,13,9,6
14,Italy,Max Verstappen,1,25,25,364,1,1,0,0,12,14,9,6
15,Singapore,Max Verstappen,5,10,10,374,0,0,0,0,12,14,9,6
16,Japan,Max Verstappen,1,26,26,400,1,1,1,1,13,15,10,7
17,Qatar,Max Verstappen,1,33,33,433,1,1,1,1,14,16,11,8
18,United States,Max Verstappen,1,33,33,466,1,1,0,0,15,17,11,8
19,Mexico,Max Verstappen,1,25,25,491,1,1,0,0,16,18,11,8
20,Brazil,Max Verstappen,1,33,33,524,1,1,1,0,17,19,12,8
21,Las Vegas,Max Verstappen,1,25,25,549,1,1,0,0,18,20,12,8
22,Abu Dhabi,Max Verstappen,1,26,26,575,1,1,1,1,19,21,13,9
1,Bahrain,Sergio Perez,2,18,18,18,0,1,0,0,0,1,0,0
2,Saudi Arabia,Sergio Perez,1,25,25,43,1,1,1,0,1,2,1,0
3,Australia,Sergio Perez,5,11,11,54,0,0,0,1,1,2,1,1
4,Azerbaijan,Sergio Perez,1,33,33,87,1,1,0,0,2,3,1,1
5,Miami,Sergio Perez,2,18,18,105,0,1,1,0,2,4,2,1
6,Monaco,Sergio Perez,16,0,0,105,0,0,0,0,2,4,2,1
7,Spain,Sergio Perez,4,12,12,117,0,0,0,0,2,4,2,1
8,Canada,Sergio Perez,6,9,9,126,0,0,0,1,2,4,2,2
9,Austria,Sergio Perez,3,22,22,148,0,1,0,0,2,5,2,2
10,Great Britain,Sergio Perez,6,8,8,156,0,0,0,0,2,5,2,2
11,Hungary,Sergio Perez,3,15,15,171,0,1,0,0,2,6,2,2
12,Belgium,Sergio Perez,2,18,18,189,0,1,0,0,2,7,2,2
13,Netherlands,Sergio Perez,4,12,12,201,0,0,0,0,2,7,2,2
14,Italy,Sergio Perez,2,18,18,219,0,1,0,0,2,8,2,2
15,Singapore,Sergio Perez,8,4,4,223,0,0,0,0,2,8,2,2
16,Japan,Sergio Perez,DNF,0,0,223,0,0,0,0,2,8,2,2
17,Qatar,Sergio Perez,10,1,1,224,0,0,0,0,2,8,2,2
18,United States,Sergio Perez,4,16,16,240,0,0,0,0,2,8,2,2
19,Mexico,Sergio Perez,DNF,0,0,240,0,0,0,0,2,8,2,2
20,Brazil,Sergio Perez,4,18,18,258,0,0,0,0,2,8,2,2
21,Las Vegas,Sergio Perez,3,15,15,273,0,1,0,0,2,9,2,2
22,Abu Dhabi,Sergio Perez,4,12,12,285,0,0,0,0,2,9,2,2
